##### 2 threads 1 core ####

ubuntu@client-measure-l85z:~/memcache-perf-dynamic$ ./mcperf -s 10.156.15.223 -a 10.156.15.221 --noload -T 16 -C 4 -D 4 -Q 1000 -c 4 -t 5 --scan 5000:120000:5000
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      284.2   175.1    74.4   124.9   140.4   255.6   320.7   358.0   384.7   416.4   456.1   521.2   702.1  1493.7  6766.4  84817.4    85000  1652987751778  1652987757075
read      288.7   184.0    74.4   127.6   143.6   262.4   325.6   361.7   388.0   419.2   459.6   528.1   687.3  1278.5  6666.3  90031.4    90000  1652987758577  1652987763871
read      280.6   165.5    74.4   126.4   141.8   254.9   316.2   351.7   377.7   407.9   447.3   508.2   663.4  1051.8  5100.2  94890.4    95000  1652987765374  1652987770653
read      278.6   172.3    74.4   125.2   141.1   252.9   313.1   346.8   372.4   402.4   441.7   503.1   643.6  1776.9  5163.0 100013.0   100000  1652987772156  1652987777446
read      278.3   165.1    74.4   127.1   142.4   253.5   313.2   346.4   371.6   401.6   440.8   501.8   643.4  1280.1  4843.0 105031.8   105000  1652987778949  1652987784225
read      291.9   184.4    74.4   131.5   148.9   264.9   325.7   361.4   388.2   420.6   463.2   533.6   684.1  1593.3  6592.6 109858.6   110000  1652987785728  1652987790998
read      285.1   197.1    74.4   129.3   145.7   258.2   317.2   351.6   377.7   408.9   450.2   513.6   667.2  1871.0  7118.7 114961.4   115000  1652987792501  1652987797812
read      267.1   179.9    74.4   124.7   139.7   240.7   296.7   329.6   353.8   382.7   420.3   476.7   614.5  1530.2  6536.2 119932.0   120000  1652987799315  1652987804593
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 57.66%,9.55%,100.00%



#1652987637.3 1.0 1.0 0.0 0.0
#1652987638.3 1.0 0.0 0.0 1.0
#1652987639.3 0.0 1.0 1.0 1.0
#1652987640.31 1.0 0.0 1.0 0.0
#1652987641.31 0.0 2.0 1.0 1.0
1652987642.31 2.0 1.0 0.0 1.0
1652987643.31 2.0 2.1 4.1 2.0
1652987644.31 0.0 0.0 0.0 1.0
1652987645.31 1.0 1.1 2.1 0.0
1652987646.31 1.0 2.1 0.0 0.0
1652987647.31 1.0 2.1 1.1 1.0
1652987648.32 0.0 0.0 0.0 0.0
1652987649.32 1.0 1.0 0.0 1.0
1652987650.32 1.0 2.2 0.0 1.0
1652987651.32 1.0 1.1 3.3 2.1
1652987652.32 0.0 1.1 2.2 0.0
1652987653.32 1.1 2.2 1.1 2.1
1652987654.32 0.0 2.1 2.2 1.0
1652987655.33 1.0 1.0 1.0 2.1
1652987656.33 1.0 1.1 0.0 0.0
1652987657.33 1.1 1.1 1.1 0.0
1652987658.33 1.1 0.0 0.0 1.1
1652987659.33 1.1 3.4 2.2 2.1
1652987660.33 0.0 0.0 1.1 0.0
1652987661.33 2.1 3.2 1.1 1.1
1652987662.33 0.0 0.0 0.0 0.0
1652987663.34 2.1 2.2 2.2 2.1
1652987664.34 0.0 1.2 1.2 2.1
1652987665.34 1.1 1.2 0.0 0.0
1652987666.34 2.1 1.2 2.4 0.0
1652987667.34 0.0 0.0 1.2 0.0
1652987668.34 0.0 2.1 2.1 1.0
1652987669.34 1.0 1.0 1.0 2.0
1652987670.35 0.0 1.2 1.2 0.0
1652987671.35 1.1 1.3 1.3 1.1
1652987672.35 1.1 1.2 0.0 1.1
1652987673.35 1.1 2.5 2.5 1.1
1652987674.35 2.1 2.5 0.0 1.1
1652987675.35 2.0 2.1 1.0 1.1
1652987676.35 1.0 0.0 0.0 0.0
1652987677.35 3.3 2.6 2.6 3.2
1652987678.36 1.1 2.6 0.0 1.1
1652987679.36 3.3 3.9 1.3 1.1
1652987680.36 0.0 1.3 1.3 0.0
1652987681.36 3.2 1.3 1.3 0.0
1652987682.36 1.0 0.0 0.0 0.0
1652987683.36 1.0 2.1 4.2 1.0
1652987684.36 0.0 2.7 2.7 2.2
1652987685.37 3.3 1.4 1.4 1.2
1652987686.37 2.2 1.4 2.7 2.2
1652987687.37 1.1 0.0 0.0 0.0
1652987688.37 0.0 3.6 1.2 1.1
1652987689.37 2.0 0.0 2.0 1.0
1652987690.37 1.1 1.1 1.1 0.0
1652987691.37 1.2 0.0 1.4 1.1
1652987692.38 1.2 0.0 0.0 0.0
1652987693.38 3.5 4.2 4.1 3.3
1652987694.38 2.3 1.4 2.7 1.1
1652987695.38 2.2 1.2 0.0 2.2
