ubuntu@client-measure-n717:~/memcache-perf-dynamic$ ./mcperf -s 10.156.0.7 -a 10.156.0.11 --noload -T 16 -C 4 -D 4 -Q 1000 -c 4 -t 1800 --qps_interval 10 --qps_min 5000 --qps_max 100000 --qps_seed 4
Random waveform, supplied seed
Total number of intervals = 180 (5002, 54986, 7130, 84290, 17452, 88208, 22877, 72971, 73135, 75186, 55733, 12378, 35768, 18138, 25316, 16286, 70039, 7925, 55700, 30401, 68647, 75977, 38812, 73569, 41545, 15233, 39948, 63492, 68082, 81456, 65924, 9635, 9732, 23037, 94715, 34730, 55405, 7436, 96598, 48830, 98879, 93373, 89615, 6275, 62579, 32621, 55023, 56191, 13630, 75839, 11268, 91542, 95358, 14465, 46522, 68275, 94880, 61112, 65501, 28015, 63771, 6718, 11191, 31233, 94928, 97715, 11135, 39480, 80154, 33026, 5268, 55976, 15291, 67253, 16304, 86493, 77575, 24032, 9375, 12678, 34572, 52641, 11030, 76616, 49936, 54228, 94769, 90660, 99798, 57659, 93618, 26403, 43387, 10044, 39624, 41474, 66593, 39775, 12340, 67852, 19176, 87812, 19141, 72767, 63416, 32230, 24915, 17561, 18091, 99427, 83040, 99355, 25742, 58482, 52445, 39976, 65714, 85849, 86593, 54564, 39577, 14343, 6139, 67434, 15213, 84735, 76404, 96170, 73743, 30666, 57058, 62785, 62130, 73914, 56612, 57338, 99906, 61065, 38132, 41320, 39242, 83059, 26336, 61300, 93660, 65334, 58894, 29662, 5808, 95639, 86335, 85220, 52894, 80911, 31316, 54124, 53152, 62479, 51223, 25168, 99184, 91048, 57941, 82238, 15783, 62638, 72072, 58970, 80048, 65921, 54854, 56548, 40027, 66638, 32005, 48830, 6161, 56344, 17598, 83020)
Average QPS expected = 52310
Timestamp start: 1653223294365
Timestamp end: 1653225094808

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      542.7  1141.4    93.8   167.8   190.1   363.3   478.1   568.1   634.9   708.1   812.1  1043.2  4162.8 13698.1 36056.7  25688.6    25742
read      566.2   929.6    93.8   173.1   198.9   355.8   473.5   577.8   677.0   831.9  1044.5  1381.0  4013.6  9268.8 31975.2  58471.6    58482
read      590.1  1027.7    93.8   178.9   205.1   367.9   488.1   590.4   688.1   831.3  1033.5  1407.8  4441.5  9858.1 32341.9  52291.0    52445
read      579.2  1078.9    86.8   158.2   181.8   349.4   476.5   584.7   690.4   827.8  1001.1  1335.4  4701.0  9981.6 35128.9  39973.7    39976
read      551.3   822.1    86.8   183.6   210.8   366.6   480.2   576.7   671.5   802.3  1011.7  1351.3  3597.3  7921.8 31530.9  65588.2    65714
read      563.7   569.8    86.8   189.1   217.4   384.7   550.0   692.6   811.6   960.4  1113.9  1433.3  2188.2  5309.2 17069.1  85862.5    85849
read      561.4   554.0    86.8   196.0   224.3   391.9   553.8   685.8   798.5   941.7  1090.5  1384.9  2125.9  5690.1 15843.7  86600.9    86593
read      582.2  1063.0    86.8   167.8   193.7   354.7   472.9   576.0   678.0   834.7  1052.4  1440.1  4439.0  9765.7 35849.9  54638.1    54564
read      573.8  1045.1    86.8   167.5   191.8   356.1   479.6   584.0   684.1   806.6   986.5  1283.6  4579.4  9856.3 31964.3  39635.2    39577
read      551.3  1444.4    93.8   163.2   186.1   355.4   455.9   513.3   553.6   601.8   674.2   919.8  5029.3 29852.2 37411.8  14412.1    14343
read      517.9  1552.5   109.4   177.3   204.9   327.9   381.9   412.1   435.1   467.6   525.0   850.8  4640.9 30464.9 32482.6   6141.4     6139
read      556.6   843.7    93.8   182.2   209.2   365.0   478.6   578.3   677.5   827.3  1040.4  1402.1  3613.3  8032.2 31679.0  67412.8    67434
read      533.8  1282.8    93.8   168.5   192.2   366.0   465.4   524.8   566.0   612.9   677.4   866.3  4550.6 16534.9 37220.0  15352.7    15213
read      563.2   638.3    86.8   199.4   227.1   389.6   531.8   656.2   763.4   912.6  1079.4  1401.4  2308.8  6698.5 30155.2  84648.4    84735
read      513.5   617.3    93.8   190.9   217.7   367.0   472.3   562.5   647.4   769.6   953.3  1235.2  2192.5  6357.7 29149.7  76356.2    76404
read      695.1   881.3    86.8   229.3   258.4   399.6   564.1   866.4  1097.2  1394.3  1557.8  1742.8  2790.6  8718.9 31757.3  96070.7    96170
read      540.5   765.3    86.8   178.1   205.1   358.2   469.3   574.4   677.9   831.0  1043.7  1398.1  2993.8  7329.7 31277.7  73736.0    73743
read      565.5  1210.5    86.8   158.9   181.6   356.4   483.3   584.8   666.3   755.3   903.0  1128.5  4685.3 16202.5 36198.8  30640.4    30666
read      503.0   703.7    86.8   172.5   197.8   354.6   465.5   547.3   623.8   725.9   898.8  1180.1  2761.8  7560.5 30989.1  56966.1    57058
read      446.7   437.7    86.8   160.4   184.6   342.3   448.3   524.4   591.0   682.6   828.0  1078.3  1581.4  4224.8 12385.0  62884.1    62785
read      446.0   441.1    80.4   157.0   180.3   336.6   445.5   523.1   590.7   685.9   844.8  1097.3  1623.7  4364.5 11950.1  62050.5    62130
read      411.6   329.8    86.8   172.4   196.9   331.0   415.4   472.9   524.1   593.9   703.3   917.3  1426.4  3727.1  8969.5  73961.1    73914
read      455.5   488.1    80.4   165.5   191.2   346.6   450.3   523.3   586.8   675.9   816.7  1087.1  1603.9  4941.7 15562.2  56762.5    56612
